@relation 'EPA Eastern Lakes Survey - 1984-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1'

@attribute aluminum numeric
@attribute calcium numeric
@attribute carbonate numeric
@attribute color numeric
@attribute elevation numeric
@attribute inlets {zero,one,few,many}
@attribute potassium numeric
@attribute area numeric
@attribute type {lake,pond,reservoir,swamp}
@attribute volume numeric
@attribute latitude numeric
@attribute longitude numeric
@attribute ammonium numeric
@attribute nitrate numeric
@attribute outlets {zero,few,one}
@attribute precipitation numeric
@attribute runoff {5,10,15,20,25,30}
@attribute sulfate numeric
@attribute ph {low,high}

@data
47.75,1.4285,0.033,70,4.572,one,1.6495,19.099991,pond,0.08,41.670807,-70.220825,0.0635,1.016,one,0.944,20,7.005,low
24,2.025,0.063,29,310.3,zero,0.875,7.099998,lake,0.25,45.756927,-92.418274,0.16,0.033,zero,0.811,5,4.07,low
100,2.38,0.062,64,566.9,zero,0.45,5.899998,lake,0.033,48.012482,-90.068054,0.12,0.399,one,0.817,10,4.26,low
11,1.38,0.032,25,488.9,zero,0.8,11.699997,lake,0.201,45.283325,-89.168579,0.102,0.103,zero,0.886,10,1.83,low
31.9,1.879,0.027,25,272.2,zero,0.447,8.199997,pond,0.08,43.412476,-71.361084,0.019,0.015,one,1.075,20,3.835,low
16,1.29,0.02,20,483.1,zero,0.93,9.299995,lake,0.224,45.431366,-88.857178,0.122,0.051,zero,0.884,10,1.66,low
92.4,2.874,0.049,70,308.8,zero,0.56,6,pond,0.033,44.59082,-70.666626,0.03,0,zero,0.971,25,4.388,low
17.8,1.76,0.013,10,57.3,one,0.292,13.899994,pond,0.742,44.309998,-68.290527,0.006,0.01,one,1.361,25,4.536,low
42,3.876,0.163,35,140.8176,one,2.207,13,pond,0.054,41.713867,-71.729126,0.035,0,one,0.96,20,4.843,low
100.2,1.774,0.006,20,369.7,many,0.247,469.099853,pond,36.567,45.25,-69.733276,0.019,0.009,one,0.993,25,3.608,low
14.9,1.657,0.013,5,4.6,one,0.596,26.099991,pond,0.739,44.037476,-68.611084,0.008,0.007,zero,1.343,25,6.879,low
41.5,1.576,0.017,20,114,zero,0.349,33.199982,pond,0.555,45.313324,-68.448608,0.025,0,one,0.986,15,3.774,low
216.2,2.498,0.056,75,36.6,one,0.671,16.599991,pond,0.277,43.437469,-70.604126,0.041,0.053,one,0.952,15,3.376,low
